IEEE,DOI,NAME OF JOURNAL,PUBLICATION YEAR,LEVEL
"Model of group data sharing according to the structure of the SBIBD is constructed. In this paper, a group data sharing model is established based on the definition of the SBIBD, which can be used to determine the way of communication among the participants. Regarding mathematical descriptions of the structure of the SBIBD, general formulas for computing the common conference key for multiple participants are derived",https://doi.org/10.1109/TDSC.2017.2725953,Block Design-Based Key Agreement for Group Data Sharing in Cloud Computing,12 July 2017,0
"Healthcare is a data-intensive domain where a large amount of data is created, disseminated, stored, and accessed daily. For example, data is created when a patient undergoes some tests (e.g. computerized tomography or computerized axial tomography scans), and the data will need to be disseminated to the radiographer and then a physician",https://doi.org/10.1109/MCC.2018.011791712,Blockchain: A Panacea for Healthcare Cloud-Based Data Security and Privacy?,28 March 2018,0
"The current Cloud Computing services are based on the “data center” approach, where hundreds of thousands of dedicated servers are setup to give the services. Setting up the data center for cloud is expensive and running the infrastructure needs expertise as well as a lot of resources such as high power for cooling, redundant power for assured availability, etc.",https://doi.org/10.1109/CLOUD.2017.99,"A ""No Data Center"" Solution to Cloud Computing",11 September 2017,0
"Based on simulation results, CBS saves costs of running workloads by 55% and 12% compared with costs of cloud sourcing and private cloud, respectively. It also improves resource utilization (89%) by judiciously activating/leasing resources.",https://doi.org/10.1109/CLOUD.2017.112,Cloud Bursting Scheduler for Cost Efficiency,11 September 2017,0
"In achieving these goals, we tried to establish a Eucalyptus [5] based private cloud on our already existing cluster resources. We have developed several customized machine images that can be used in solving problems from mobile web services, distributed computing and bio-informatics domains.",https://doi.org/10.1109/CCGRID.2010.56,SciCloud: Scientific Computing on the Cloud,24 June 2010,0
"Most literatures address those uncertainties and challenges from the technological perspective but few from managerial one. The goal of this paper is to identify the key consideration factors of adopting cloud computing for science and explore the interrelationship among these factors through the works of in-depth interview, survey, and scientific data analysis.",https://doi.org/10.1109/CloudCom.2012.6427610,Key consideration factors of adopting cloud computing for science,4 February 2013,0
"Lack of trust: Does not assume a level of trust exists between an end-user and the infrastructure provider; a relationship that currently exists between end-users, clouds, clusters and Grids.",https://doi.org/10.1109/CLOUD.2015.153,Ad Hoc Cloud Computing,20 August 2015,0
"A global 2000 company or a government agency typically has more than 5,000 applications on legacy platforms. These applications are placed into categories: ones that should move to the cloud and ones that should not. If they move to the cloud, then do they need to be altered to leverage cloud-native features (refactoring), or they could be moved with few or no changes (lift and shift)?",10.1109/MCC.2017.4250932,"Cloud-Native Applications and Cloud Migration: The Good, the Bad, and the Points Between",1 December 2017,0
"One of the potential business drivers for an edge marketplace using Internet of Things (IoT) devices, edge-computing resources, and data science is an enhanced ability to make quicker and better decisions. For example, the reduction in cost and increase in uptake of IoT-based environmental monitoring1 provides the potential for city managers to augment their decision making both on an operational front using real-time data and analytics and on a strategic front through access to multiple historic observations across multiple sectors.2",10.1109/MCC.2018.064181115,Realizing Edge Marketplaces: Challenges and Opportunities,29 November 2018,0
"Abicloud is a cloud computing platform developed by Abiquo, a company locates in Barcelona Spain that is mainly focused on the development of cloud platform. It can be used to build, integrate and manage public as well as private cloud in the homogeneous environments",https://doi.org/10.1109/ISISE.2009.94,Comparison of Several Cloud Computing Platforms,15 April 2010,0
